Year,Territory,Value,Indicator
2005,ON,86.157,Microscopic Confirmation
2006,ON,85.815,Microscopic Confirmation
2007,ON,94.481,Microscopic Confirmation
2008,ON,94.616,Microscopic Confirmation
2009,ON,94.584,Microscopic Confirmation
2010,ON,87.980,Microscopic Confirmation
2011,ON,89.134,Microscopic Confirmation
2012,ON,89.067,Microscopic Confirmation
2013,ON,88.455,Microscopic Confirmation
2014,ON,89.575,Microscopic Confirmation
2015,ON,89.895,Microscopic Confirmation
2016,ON,89.781,Microscopic Confirmation
2017,ON,89.177,Microscopic Confirmation
2018,ON,89.536,Microscopic Confirmation
2019,ON,89.147,Microscopic Confirmation
2020,ON,90.852,Microscopic Confirmation
1992,MB,86.729,Microscopic Confirmation
1993,MB,89.020,Microscopic Confirmation
1994,MB,89.192,Microscopic Confirmation
1995,MB,88.287,Microscopic Confirmation
1996,MB,89.357,Microscopic Confirmation
1997,MB,89.360,Microscopic Confirmation
1998,MB,90.410,Microscopic Confirmation
1999,MB,89.161,Microscopic Confirmation
2000,MB,87.528,Microscopic Confirmation
2001,MB,87.411,Microscopic Confirmation
2002,MB,87.028,Microscopic Confirmation
2003,MB,85.745,Microscopic Confirmation
2004,MB,86.685,Microscopic Confirmation
2005,MB,86.688,Microscopic Confirmation
2006,MB,87.051,Microscopic Confirmation
2007,MB,86.590,Microscopic Confirmation
2008,MB,84.877,Microscopic Confirmation
2009,MB,86.404,Microscopic Confirmation
2010,MB,86.641,Microscopic Confirmation
2011,MB,86.158,Microscopic Confirmation
2012,MB,88.120,Microscopic Confirmation
2013,MB,89.519,Microscopic Confirmation
2014,MB,88.754,Microscopic Confirmation
2015,MB,89.158,Microscopic Confirmation
2016,MB,90.267,Microscopic Confirmation
2017,MB,90.176,Microscopic Confirmation
2018,MB,90.776,Microscopic Confirmation
2019,MB,90.219,Microscopic Confirmation
2020,MB,90.939,Microscopic Confirmation
1992,SK,91.201,Microscopic Confirmation
1993,SK,91.414,Microscopic Confirmation
1994,SK,91.116,Microscopic Confirmation
1995,SK,90.393,Microscopic Confirmation
1996,SK,89.592,Microscopic Confirmation
1997,SK,90.689,Microscopic Confirmation
1998,SK,89.931,Microscopic Confirmation
1999,SK,89.835,Microscopic Confirmation
2000,SK,89.588,Microscopic Confirmation
2001,SK,89.279,Microscopic Confirmation
2002,SK,90.111,Microscopic Confirmation
2003,SK,89.820,Microscopic Confirmation
2004,SK,90.578,Microscopic Confirmation
2005,SK,89.482,Microscopic Confirmation
2006,SK,89.507,Microscopic Confirmation
2007,SK,89.833,Microscopic Confirmation
2008,SK,88.747,Microscopic Confirmation
2009,SK,89.317,Microscopic Confirmation
2010,SK,89.239,Microscopic Confirmation
2011,SK,89.536,Microscopic Confirmation
2012,SK,90.460,Microscopic Confirmation
2013,SK,90.438,Microscopic Confirmation
2014,SK,90.980,Microscopic Confirmation
2015,SK,90.806,Microscopic Confirmation
2016,SK,91.846,Microscopic Confirmation
2017,SK,90.749,Microscopic Confirmation
2018,SK,92.043,Microscopic Confirmation
2019,SK,92.926,Microscopic Confirmation
2020,SK,92.856,Microscopic Confirmation
1992,AB,93.948,Microscopic Confirmation
1993,AB,93.360,Microscopic Confirmation
1994,AB,92.303,Microscopic Confirmation
1995,AB,92.417,Microscopic Confirmation
1996,AB,92.076,Microscopic Confirmation
1997,AB,92.823,Microscopic Confirmation
1998,AB,93.104,Microscopic Confirmation
1999,AB,93.011,Microscopic Confirmation
2000,AB,92.718,Microscopic Confirmation
2001,AB,92.435,Microscopic Confirmation
2002,AB,91.863,Microscopic Confirmation
2003,AB,91.539,Microscopic Confirmation
2004,AB,92.194,Microscopic Confirmation
2005,AB,92.584,Microscopic Confirmation
2006,AB,91.919,Microscopic Confirmation
2007,AB,91.230,Microscopic Confirmation
2008,AB,91.295,Microscopic Confirmation
2009,AB,91.997,Microscopic Confirmation
2010,AB,92.421,Microscopic Confirmation
2011,AB,92.337,Microscopic Confirmation
2012,AB,91.734,Microscopic Confirmation
2013,AB,91.704,Microscopic Confirmation
2014,AB,91.767,Microscopic Confirmation
2015,AB,91.778,Microscopic Confirmation
2016,AB,90.993,Microscopic Confirmation
2017,AB,91.010,Microscopic Confirmation
2018,AB,91.154,Microscopic Confirmation
2019,AB,91.088,Microscopic Confirmation
2020,AB,91.342,Microscopic Confirmation
1992,BC,91.474,Microscopic Confirmation
1993,BC,91.052,Microscopic Confirmation
1994,BC,91.113,Microscopic Confirmation
1995,BC,90.671,Microscopic Confirmation
1996,BC,90.623,Microscopic Confirmation
1997,BC,91.275,Microscopic Confirmation
1998,BC,90.836,Microscopic Confirmation
1999,BC,90.685,Microscopic Confirmation
2000,BC,90.557,Microscopic Confirmation
2001,BC,89.627,Microscopic Confirmation
2002,BC,91.317,Microscopic Confirmation
2003,BC,90.812,Microscopic Confirmation
2004,BC,90.961,Microscopic Confirmation
2005,BC,90.680,Microscopic Confirmation
2006,BC,90.096,Microscopic Confirmation
2007,BC,89.175,Microscopic Confirmation
2008,BC,90.116,Microscopic Confirmation
2009,BC,90.095,Microscopic Confirmation
2010,BC,90.863,Microscopic Confirmation
2011,BC,91.043,Microscopic Confirmation
2012,BC,90.244,Microscopic Confirmation
2013,BC,90.383,Microscopic Confirmation
2014,BC,90.972,Microscopic Confirmation
2015,BC,90.147,Microscopic Confirmation
2016,BC,90.334,Microscopic Confirmation
2017,BC,90.171,Microscopic Confirmation
2018,BC,90.260,Microscopic Confirmation
2019,BC,89.948,Microscopic Confirmation
2020,BC,90.528,Microscopic Confirmation
1992,YT,98.387,Microscopic Confirmation
1993,YT,97.101,Microscopic Confirmation
1994,YT,98.507,Microscopic Confirmation
1995,YT,95.455,Microscopic Confirmation
1996,YT,95.062,Microscopic Confirmation
1997,YT,90.411,Microscopic Confirmation
1998,YT,97.368,Microscopic Confirmation
1999,YT,95.763,Microscopic Confirmation
2000,YT,93.750,Microscopic Confirmation
2001,YT,88.350,Microscopic Confirmation
2002,YT,84.962,Microscopic Confirmation
2003,YT,96.429,Microscopic Confirmation
2004,YT,84.615,Microscopic Confirmation
2005,YT,86.179,Microscopic Confirmation
2006,YT,96.491,Microscopic Confirmation
2007,YT,92.800,Microscopic Confirmation
2008,YT,90.476,Microscopic Confirmation
2009,YT,91.613,Microscopic Confirmation
2010,YT,87.261,Microscopic Confirmation
2011,YT,86.905,Microscopic Confirmation
2012,YT,90.909,Microscopic Confirmation
2013,YT,94.340,Microscopic Confirmation
2014,YT,96.528,Microscopic Confirmation
2015,YT,93.370,Microscopic Confirmation
2016,YT,96.296,Microscopic Confirmation
2017,YT,93.989,Microscopic Confirmation
2018,YT,97.030,Microscopic Confirmation
2019,YT,96.216,Microscopic Confirmation
2020,YT,94.118,Microscopic Confirmation
1992,NT,84.375,Microscopic Confirmation
1993,NT,92.391,Microscopic Confirmation
1994,NT,94.545,Microscopic Confirmation
1995,NT,96.104,Microscopic Confirmation
1996,NT,93.684,Microscopic Confirmation
1997,NT,90.991,Microscopic Confirmation
1998,NT,97.248,Microscopic Confirmation
1999,NT,97.196,Microscopic Confirmation
2000,NT,95.798,Microscopic Confirmation
2001,NT,96.364,Microscopic Confirmation
2002,NT,96.269,Microscopic Confirmation
2003,NT,88.189,Microscopic Confirmation
2004,NT,92.373,Microscopic Confirmation
2005,NT,95.200,Microscopic Confirmation
2006,NT,94.595,Microscopic Confirmation
2007,NT,93.243,Microscopic Confirmation
2008,NT,92.063,Microscopic Confirmation
2009,NT,94.737,Microscopic Confirmation
2010,NT,89.726,Microscopic Confirmation
2011,NT,93.243,Microscopic Confirmation
2012,NT,91.824,Microscopic Confirmation
2013,NT,93.056,Microscopic Confirmation
2014,NT,91.935,Microscopic Confirmation
2015,NT,95.597,Microscopic Confirmation
2016,NT,91.795,Microscopic Confirmation
2017,NT,94.231,Microscopic Confirmation
2018,NT,88.601,Microscopic Confirmation
2019,NT,91.589,Microscopic Confirmation
2020,NT,91.824,Microscopic Confirmation
1992,NU,87.500,Microscopic Confirmation
1993,NU,89.583,Microscopic Confirmation
1994,NU,90.476,Microscopic Confirmation
1995,NU,89.474,Microscopic Confirmation
1996,NU,83.929,Microscopic Confirmation
1997,NU,82.609,Microscopic Confirmation
1998,NU,94.000,Microscopic Confirmation
1999,NU,89.655,Microscopic Confirmation
2000,NU,75.439,Microscopic Confirmation
2001,NU,88.710,Microscopic Confirmation
2002,NU,88.406,Microscopic Confirmation
2003,NU,95.385,Microscopic Confirmation
2004,NU,100.000,Microscopic Confirmation
2005,NU,100.000,Microscopic Confirmation
2006,NU,97.015,Microscopic Confirmation
2007,NU,98.305,Microscopic Confirmation
2008,NU,96.429,Microscopic Confirmation
2009,NU,86.207,Microscopic Confirmation
2010,NU,96.923,Microscopic Confirmation
2011,NU,98.438,Microscopic Confirmation
2012,NU,96.429,Microscopic Confirmation
2013,NU,95.455,Microscopic Confirmation
2014,NU,96.970,Microscopic Confirmation
2015,NU,100.000,Microscopic Confirmation
2016,NU,97.183,Microscopic Confirmation
2017,NU,93.182,Microscopic Confirmation
2018,NU,96.296,Microscopic Confirmation
2019,NU,93.151,Microscopic Confirmation
2020,NU,97.222,Microscopic Confirmation
1992,Canada,2.931,Primary Site Unknown
1993,Canada,2.754,Primary Site Unknown
1994,Canada,2.265,Primary Site Unknown
1995,Canada,2.978,Primary Site Unknown
1996,Canada,2.900,Primary Site Unknown
1997,Canada,2.823,Primary Site Unknown
1998,Canada,2.886,Primary Site Unknown
1999,Canada,2.892,Primary Site Unknown
2000,Canada,2.699,Primary Site Unknown
2001,Canada,2.789,Primary Site Unknown
2002,Canada,2.595,Primary Site Unknown
2003,Canada,2.760,Primary Site Unknown
2004,Canada,2.664,Primary Site Unknown
2005,Canada,2.479,Primary Site Unknown
2006,Canada,2.654,Primary Site Unknown
2007,Canada,2.428,Primary Site Unknown
2008,Canada,2.455,Primary Site Unknown
2009,Canada,2.304,Primary Site Unknown
2010,Canada,1.633,Primary Site Unknown
2011,Canada,1.349,Primary Site Unknown
2012,Canada,1.289,Primary Site Unknown
2013,Canada,1.520,Primary Site Unknown
2014,Canada,1.400,Primary Site Unknown
2015,Canada,1.301,Primary Site Unknown
2016,Canada,1.560,Primary Site Unknown
2017,Canada,1.518,Primary Site Unknown
2018,Canada,1.392,Primary Site Unknown
2019,Canada,1.486,Primary Site Unknown
2020,Canada,1.443,Primary Site Unknown
1992,NL,3.202,Primary Site Unknown
1993,NL,2.416,Primary Site Unknown
1994,NL,2.359,Primary Site Unknown
1995,NL,3.157,Primary Site Unknown
1996,NL,3.681,Primary Site Unknown
1997,NL,3.537,Primary Site Unknown
1998,NL,2.618,Primary Site Unknown
1999,NL,3.511,Primary Site Unknown
2000,NL,2.424,Primary Site Unknown
2001,NL,3.118,Primary Site Unknown
2002,NL,2.385,Primary Site Unknown
2003,NL,2.239,Primary Site Unknown
2004,NL,2.423,Primary Site Unknown
2005,NL,2.399,Primary Site Unknown
2006,NL,0.925,Primary Site Unknown
2007,NL,2.510,Primary Site Unknown
2008,NL,2.514,Primary Site Unknown
2009,NL,2.082,Primary Site Unknown
2010,NL,1.976,Primary Site Unknown
2011,NL,1.972,Primary Site Unknown
2012,NL,1.270,Primary Site Unknown
2013,NL,1.235,Primary Site Unknown
2014,NL,1.428,Primary Site Unknown
2015,NL,1.012,Primary Site Unknown
2016,NL,0.877,Primary Site Unknown
2017,NL,1.175,Primary Site Unknown
2018,NL,1.300,Primary Site Unknown
2019,NL,1.746,Primary Site Unknown
2020,NL,2.246,Primary Site Unknown
1992,PE,2.882,Primary Site Unknown
1993,PE,2.941,Primary Site Unknown
1994,PE,2.430,Primary Site Unknown
1995,PE,1.124,Primary Site Unknown
1996,PE,3.305,Primary Site Unknown
1997,PE,2.517,Primary Site Unknown
1998,PE,1.757,Primary Site Unknown
1999,PE,1.843,Primary Site Unknown
2000,PE,1.554,Primary Site Unknown
2001,PE,1.877,Primary Site Unknown
2002,PE,2.009,Primary Site Unknown
2003,PE,1.980,Primary Site Unknown
2004,PE,1.133,Primary Site Unknown
2005,PE,1.327,Primary Site Unknown
2006,PE,1.868,Primary Site Unknown
2007,PE,1.309,Primary Site Unknown
2008,PE,2.007,Primary Site Unknown
2009,PE,0.841,Primary Site Unknown
2010,PE,1.451,Primary Site Unknown
2011,PE,1.362,Primary Site Unknown
2012,PE,1.753,Primary Site Unknown
2013,PE,1.836,Primary Site Unknown
2014,PE,1.816,Primary Site Unknown
2015,PE,1.626,Primary Site Unknown
2016,PE,1.571,Primary Site Unknown
2017,PE,1.337,Primary Site Unknown
2018,PE,2.152,Primary Site Unknown
2019,PE,2.489,Primary Site Unknown
2020,PE,2.218,Primary Site Unknown
1992,NS,3.466,Primary Site Unknown
1993,NS,3.267,Primary Site Unknown
1994,NS,3.314,Primary Site Unknown
1995,NS,3.656,Primary Site Unknown
1996,NS,3.518,Primary Site Unknown
1997,NS,3.654,Primary Site Unknown
1998,NS,3.152,Primary Site Unknown
1999,NS,2.989,Primary Site Unknown
2000,NS,2.912,Primary Site Unknown
2001,NS,2.974,Primary Site Unknown
2002,NS,2.779,Primary Site Unknown
2003,NS,2.694,Primary Site Unknown
2004,NS,2.899,Primary Site Unknown
2005,NS,2.385,Primary Site Unknown
2006,NS,2.353,Primary Site Unknown
2007,NS,2.281,Primary Site Unknown
2008,NS,2.173,Primary Site Unknown
2009,NS,2.688,Primary Site Unknown
2010,NS,2.050,Primary Site Unknown
2011,NS,2.208,Primary Site Unknown
2012,NS,1.988,Primary Site Unknown
2013,NS,2.038,Primary Site Unknown
2014,NS,1.756,Primary Site Unknown
2015,NS,1.766,Primary Site Unknown
2016,NS,1.894,Primary Site Unknown
2017,NS,1.559,Primary Site Unknown
2018,NS,1.462,Primary Site Unknown
2019,NS,0.970,Primary Site Unknown
2020,NS,No data,Primary Site Unknown
1992,NB,2.555,Primary Site Unknown
1993,NB,2.614,Primary Site Unknown
1994,NB,2.050,Primary Site Unknown
1995,NB,2.325,Primary Site Unknown
1996,NB,2.051,Primary Site Unknown
1997,NB,2.151,Primary Site Unknown
1998,NB,1.703,Primary Site Unknown
1999,NB,1.731,Primary Site Unknown
2000,NB,1.636,Primary Site Unknown
2001,NB,1.516,Primary Site Unknown
2002,NB,1.296,Primary Site Unknown
2003,NB,0.858,Primary Site Unknown
2004,NB,1.036,Primary Site Unknown
2005,NB,0.740,Primary Site Unknown
2006,NB,0.623,Primary Site Unknown
2007,NB,1.068,Primary Site Unknown
2008,NB,1.308,Primary Site Unknown
2009,NB,1.138,Primary Site Unknown
2010,NB,1.253,Primary Site Unknown
2011,NB,1.322,Primary Site Unknown
2012,NB,1.417,Primary Site Unknown
2013,NB,1.395,Primary Site Unknown
2014,NB,1.026,Primary Site Unknown
2015,NB,1.314,Primary Site Unknown
2016,NB,1.454,Primary Site Unknown
2017,NB,1.046,Primary Site Unknown
2018,NB,1.044,Primary Site Unknown
2019,NB,0.922,Primary Site Unknown
2020,NB,1.113,Primary Site Unknown
1992,QC,2.662,Primary Site Unknown
1993,QC,2.443,Primary Site Unknown
1994,QC,0.462,Primary Site Unknown
1995,QC,2.600,Primary Site Unknown
1996,QC,2.576,Primary Site Unknown
1997,QC,2.423,Primary Site Unknown
1998,QC,2.764,Primary Site Unknown
1999,QC,2.623,Primary Site Unknown
2000,QC,2.419,Primary Site Unknown
2001,QC,2.433,Primary Site Unknown
2002,QC,2.198,Primary Site Unknown
2003,QC,2.227,Primary Site Unknown
2004,QC,2.317,Primary Site Unknown
2005,QC,2.187,Primary Site Unknown
2006,QC,2.654,Primary Site Unknown
2007,QC,2.874,Primary Site Unknown
2008,QC,2.681,Primary Site Unknown
2009,QC,2.701,Primary Site Unknown
2010,QC,2.630,Primary Site Unknown
2011,QC,1.734,Primary Site Unknown
2012,QC,1.581,Primary Site Unknown
2013,QC,1.604,Primary Site Unknown
2014,QC,1.494,Primary Site Unknown
2015,QC,1.497,Primary Site Unknown
2016,QC,1.391,Primary Site Unknown
2017,QC,1.433,Primary Site Unknown
2018,QC,No data,Primary Site Unknown
2019,QC,No data,Primary Site Unknown
2020,QC,No data,Primary Site Unknown
1992,ON,3.465,Primary Site Unknown
1993,ON,3.211,Primary Site Unknown
1994,ON,3.264,Primary Site Unknown
1995,ON,3.302,Primary Site Unknown
1996,ON,3.301,Primary Site Unknown
1997,ON,3.217,Primary Site Unknown
1998,ON,3.289,Primary Site Unknown
1999,ON,3.407,Primary Site Unknown
2000,ON,3.272,Primary Site Unknown
2001,ON,3.418,Primary Site Unknown
2002,ON,3.185,Primary Site Unknown
2003,ON,3.827,Primary Site Unknown
2004,ON,3.452,Primary Site Unknown
2005,ON,3.176,Primary Site Unknown
2006,ON,3.398,Primary Site Unknown
2007,ON,2.603,Primary Site Unknown
2008,ON,2.750,Primary Site Unknown
2009,ON,2.591,Primary Site Unknown
2010,ON,1.039,Primary Site Unknown
2011,ON,0.917,Primary Site Unknown
2012,ON,0.971,Primary Site Unknown
2013,ON,1.685,Primary Site Unknown
2014,ON,1.587,Primary Site Unknown
2015,ON,1.316,Primary Site Unknown
2016,ON,2.038,Primary Site Unknown
2017,ON,1.908,Primary Site Unknown
2018,ON,1.651,Primary Site Unknown
2019,ON,1.846,Primary Site Unknown
2020,ON,1.547,Primary Site Unknown
1992,MB,2.605,Primary Site Unknown
1993,MB,2.177,Primary Site Unknown
1994,MB,2.293,Primary Site Unknown
1995,MB,2.838,Primary Site Unknown
1996,MB,2.033,Primary Site Unknown
1997,MB,2.407,Primary Site Unknown
1998,MB,2.566,Primary Site Unknown
1999,MB,2.698,Primary Site Unknown
2000,MB,2.845,Primary Site Unknown
2001,MB,2.481,Primary Site Unknown
2002,MB,2.348,Primary Site Unknown
2003,MB,1.882,Primary Site Unknown
2004,MB,1.832,Primary Site Unknown
2005,MB,2.131,Primary Site Unknown
2006,MB,2.281,Primary Site Unknown
2007,MB,2.116,Primary Site Unknown
2008,MB,2.394,Primary Site Unknown
2009,MB,1.905,Primary Site Unknown
2010,MB,2.172,Primary Site Unknown
2011,MB,1.837,Primary Site Unknown
2012,MB,2.069,Primary Site Unknown
2013,MB,1.835,Primary Site Unknown
2014,MB,2.009,Primary Site Unknown
2015,MB,1.840,Primary Site Unknown
2016,MB,1.686,Primary Site Unknown
2017,MB,1.774,Primary Site Unknown
2018,MB,1.450,Primary Site Unknown
2019,MB,1.453,Primary Site Unknown
2020,MB,1.571,Primary Site Unknown
1992,SK,2.409,Primary Site Unknown
1993,SK,2.196,Primary Site Unknown
1994,SK,3.050,Primary Site Unknown
1995,SK,3.024,Primary Site Unknown
1996,SK,3.053,Primary Site Unknown
1997,SK,3.045,Primary Site Unknown
1998,SK,3.176,Primary Site Unknown
1999,SK,2.927,Primary Site Unknown
2000,SK,2.352,Primary Site Unknown
2001,SK,2.980,Primary Site Unknown
2002,SK,2.446,Primary Site Unknown
2003,SK,1.929,Primary Site Unknown
2004,SK,2.162,Primary Site Unknown
2005,SK,2.072,Primary Site Unknown
2006,SK,2.480,Primary Site Unknown
2007,SK,1.422,Primary Site Unknown
2008,SK,1.731,Primary Site Unknown
2009,SK,1.153,Primary Site Unknown
2010,SK,1.199,Primary Site Unknown
2011,SK,0.830,Primary Site Unknown
2012,SK,1.094,Primary Site Unknown
2013,SK,0.871,Primary Site Unknown
2014,SK,0.728,Primary Site Unknown
2015,SK,0.863,Primary Site Unknown
2016,SK,0.962,Primary Site Unknown
2017,SK,1.287,Primary Site Unknown
2018,SK,1.008,Primary Site Unknown
2019,SK,1.021,Primary Site Unknown
2020,SK,0.839,Primary Site Unknown
1992,AB,2.513,Primary Site Unknown
1993,AB,2.674,Primary Site Unknown
1994,AB,2.461,Primary Site Unknown
1995,AB,2.626,Primary Site Unknown
1996,AB,2.532,Primary Site Unknown
1997,AB,2.360,Primary Site Unknown
1998,AB,2.316,Primary Site Unknown
1999,AB,2.172,Primary Site Unknown
2000,AB,2.162,Primary Site Unknown
2001,AB,2.221,Primary Site Unknown
2002,AB,1.948,Primary Site Unknown
2003,AB,1.897,Primary Site Unknown
2004,AB,1.684,Primary Site Unknown
2005,AB,1.645,Primary Site Unknown
2006,AB,1.531,Primary Site Unknown
2007,AB,1.713,Primary Site Unknown
2008,AB,1.777,Primary Site Unknown
2009,AB,1.352,Primary Site Unknown
2010,AB,1.250,Primary Site Unknown
2011,AB,1.207,Primary Site Unknown
2012,AB,1.068,Primary Site Unknown
2013,AB,1.165,Primary Site Unknown
2014,AB,1.038,Primary Site Unknown
2015,AB,1.019,Primary Site Unknown
2016,AB,1.067,Primary Site Unknown
2017,AB,1.060,Primary Site Unknown
2018,AB,0.961,Primary Site Unknown
2019,AB,0.875,Primary Site Unknown
2020,AB,1.038,Primary Site Unknown
1992,BC,2.547,Primary Site Unknown
1993,BC,2.590,Primary Site Unknown
1994,BC,2.889,Primary Site Unknown
1995,BC,3.229,Primary Site Unknown
1996,BC,2.941,Primary Site Unknown
1997,BC,2.839,Primary Site Unknown
1998,BC,2.766,Primary Site Unknown
1999,BC,2.870,Primary Site Unknown
2000,BC,2.478,Primary Site Unknown
2001,BC,2.554,Primary Site Unknown
2002,BC,2.741,Primary Site Unknown
2003,BC,2.790,Primary Site Unknown
2004,BC,2.805,Primary Site Unknown
2005,BC,2.513,Primary Site Unknown
2006,BC,2.480,Primary Site Unknown
2007,BC,2.263,Primary Site Unknown
2008,BC,2.216,Primary Site Unknown
2009,BC,2.041,Primary Site Unknown
2010,BC,1.527,Primary Site Unknown
2011,BC,1.646,Primary Site Unknown
2012,BC,1.344,Primary Site Unknown
2013,BC,1.068,Primary Site Unknown
2014,BC,0.800,Primary Site Unknown
2015,BC,0.890,Primary Site Unknown
2016,BC,0.906,Primary Site Unknown
2017,BC,0.908,Primary Site Unknown
2018,BC,1.018,Primary Site Unknown
2019,BC,1.110,Primary Site Unknown
2020,BC,1.470,Primary Site Unknown
1992,YT,9.677,Primary Site Unknown
1993,YT,4.348,Primary Site Unknown
1994,YT,4.478,Primary Site Unknown
1995,YT,1.515,Primary Site Unknown
1996,YT,4.938,Primary Site Unknown
1997,YT,4.110,Primary Site Unknown
1998,YT,9.211,Primary Site Unknown
1999,YT,5.085,Primary Site Unknown
2000,YT,3.125,Primary Site Unknown
2001,YT,6.796,Primary Site Unknown
2002,YT,3.759,Primary Site Unknown
2003,YT,2.679,Primary Site Unknown
2004,YT,2.308,Primary Site Unknown
2005,YT,3.252,Primary Site Unknown
2006,YT,0.000,Primary Site Unknown
2007,YT,4.800,Primary Site Unknown
2008,YT,3.810,Primary Site Unknown
2009,YT,2.581,Primary Site Unknown
2010,YT,4.459,Primary Site Unknown
2011,YT,1.190,Primary Site Unknown
2012,YT,0.649,Primary Site Unknown
2013,YT,0.629,Primary Site Unknown
2014,YT,0.694,Primary Site Unknown
2015,YT,1.105,Primary Site Unknown
2016,YT,2.116,Primary Site Unknown
2017,YT,0.546,Primary Site Unknown
2018,YT,0.495,Primary Site Unknown
2019,YT,0.000,Primary Site Unknown
2020,YT,0.535,Primary Site Unknown
1992,NT,0.000,Primary Site Unknown
1993,NT,0.000,Primary Site Unknown
1994,NT,0.000,Primary Site Unknown
1995,NT,1.299,Primary Site Unknown
1996,NT,0.000,Primary Site Unknown
1997,NT,0.000,Primary Site Unknown
1998,NT,1.835,Primary Site Unknown
1999,NT,0.000,Primary Site Unknown
2000,NT,0.840,Primary Site Unknown
2001,NT,2.727,Primary Site Unknown
2002,NT,0.746,Primary Site Unknown
2003,NT,0.000,Primary Site Unknown
2004,NT,1.695,Primary Site Unknown
2005,NT,0.800,Primary Site Unknown
2006,NT,0.901,Primary Site Unknown
2007,NT,0.676,Primary Site Unknown
2008,NT,1.587,Primary Site Unknown
2009,NT,1.316,Primary Site Unknown
2010,NT,4.795,Primary Site Unknown
2011,NT,0.000,Primary Site Unknown
2012,NT,1.258,Primary Site Unknown
2013,NT,2.778,Primary Site Unknown
2014,NT,1.613,Primary Site Unknown
2015,NT,0.629,Primary Site Unknown
2016,NT,3.590,Primary Site Unknown
2017,NT,0.000,Primary Site Unknown
2018,NT,1.036,Primary Site Unknown
2019,NT,0.467,Primary Site Unknown
2020,NT,1.258,Primary Site Unknown
1992,NU,2.083,Primary Site Unknown
1993,NU,2.083,Primary Site Unknown
1994,NU,2.381,Primary Site Unknown
1995,NU,0.000,Primary Site Unknown
1996,NU,0.000,Primary Site Unknown
1997,NU,0.000,Primary Site Unknown
1998,NU,2.000,Primary Site Unknown
1999,NU,1.724,Primary Site Unknown
2000,NU,0.000,Primary Site Unknown
2001,NU,0.000,Primary Site Unknown
2002,NU,1.449,Primary Site Unknown
2003,NU,1.538,Primary Site Unknown
2004,NU,5.769,Primary Site Unknown
2005,NU,0.000,Primary Site Unknown
2006,NU,4.478,Primary Site Unknown
2007,NU,1.695,Primary Site Unknown
2008,NU,3.571,Primary Site Unknown
2009,NU,6.897,Primary Site Unknown
2010,NU,0.000,Primary Site Unknown
