Year,Territory,Value,Indicator
2011,NU,1.563,Primary Site Unknown
2012,NU,0.000,Primary Site Unknown
2013,NU,0.000,Primary Site Unknown
2014,NU,3.030,Primary Site Unknown
2015,NU,0.000,Primary Site Unknown
2016,NU,0.000,Primary Site Unknown
2017,NU,0.000,Primary Site Unknown
2018,NU,0.000,Primary Site Unknown
2019,NU,4.110,Primary Site Unknown
2020,NU,2.778,Primary Site Unknown
1996,Canada,100.751,Case Ascertainment
1997,Canada,103.061,Case Ascertainment
1998,Canada,105.416,Case Ascertainment
1999,Canada,105.640,Case Ascertainment
2000,Canada,105.894,Case Ascertainment
2001,Canada,105.170,Case Ascertainment
2002,Canada,103.678,Case Ascertainment
2003,Canada,102.796,Case Ascertainment
2004,Canada,104.121,Case Ascertainment
2005,Canada,105.190,Case Ascertainment
2006,Canada,106.856,Case Ascertainment
2007,Canada,107.013,Case Ascertainment
2008,Canada,103.699,Case Ascertainment
2009,Canada,103.936,Case Ascertainment
2010,Canada,109.975,Case Ascertainment
2011,Canada,111.321,Case Ascertainment
2012,Canada,109.434,Case Ascertainment
2013,Canada,102.947,Case Ascertainment
2014,Canada,101.507,Case Ascertainment
2015,Canada,102.545,Case Ascertainment
2016,Canada,104.024,Case Ascertainment
2017,Canada,104.512,Case Ascertainment
2018,Canada,101.475,Case Ascertainment
2019,Canada,101.293,Case Ascertainment
2020,Canada,94.394,Case Ascertainment
1996,NL,89.650,Case Ascertainment
1997,NL,88.272,Case Ascertainment
1998,NL,87.966,Case Ascertainment
1999,NL,84.267,Case Ascertainment
2000,NL,86.734,Case Ascertainment
2001,NL,87.584,Case Ascertainment
2002,NL,81.519,Case Ascertainment
2003,NL,87.237,Case Ascertainment
2004,NL,91.340,Case Ascertainment
2005,NL,89.123,Case Ascertainment
2006,NL,102.475,Case Ascertainment
2007,NL,101.714,Case Ascertainment
2008,NL,104.827,Case Ascertainment
2009,NL,104.036,Case Ascertainment
2010,NL,102.124,Case Ascertainment
2011,NL,101.392,Case Ascertainment
2012,NL,97.403,Case Ascertainment
2013,NL,94.048,Case Ascertainment
2014,NL,93.520,Case Ascertainment
2015,NL,96.361,Case Ascertainment
2016,NL,101.396,Case Ascertainment
2017,NL,97.818,Case Ascertainment
2018,NL,95.372,Case Ascertainment
2019,NL,92.569,Case Ascertainment
2020,NL,88.125,Case Ascertainment
1996,PE,98.561,Case Ascertainment
1997,PE,106.657,Case Ascertainment
1998,PE,117.659,Case Ascertainment
1999,PE,112.165,Case Ascertainment
2000,PE,103.250,Case Ascertainment
2001,PE,112.272,Case Ascertainment
2002,PE,108.491,Case Ascertainment
2003,PE,119.082,Case Ascertainment
2004,PE,111.114,Case Ascertainment
2005,PE,108.566,Case Ascertainment
2006,PE,107.595,Case Ascertainment
2007,PE,120.306,Case Ascertainment
2008,PE,109.970,Case Ascertainment
2009,PE,107.006,Case Ascertainment
2010,PE,103.227,Case Ascertainment
2011,PE,106.241,Case Ascertainment
2012,PE,110.977,Case Ascertainment
2013,PE,99.972,Case Ascertainment
2014,PE,100.169,Case Ascertainment
2015,PE,106.427,Case Ascertainment
2016,PE,105.983,Case Ascertainment
2017,PE,105.680,Case Ascertainment
2018,PE,90.629,Case Ascertainment
2019,PE,97.862,Case Ascertainment
2020,PE,100.147,Case Ascertainment
1996,NS,98.148,Case Ascertainment
1997,NS,98.897,Case Ascertainment
1998,NS,108.575,Case Ascertainment
1999,NS,110.970,Case Ascertainment
2000,NS,109.250,Case Ascertainment
2001,NS,109.685,Case Ascertainment
2002,NS,106.942,Case Ascertainment
2003,NS,101.939,Case Ascertainment
2004,NS,105.390,Case Ascertainment
2005,NS,106.788,Case Ascertainment
2006,NS,116.382,Case Ascertainment
2007,NS,112.056,Case Ascertainment
2008,NS,105.321,Case Ascertainment
2009,NS,101.960,Case Ascertainment
2010,NS,104.717,Case Ascertainment
2011,NS,97.695,Case Ascertainment
2012,NS,100.669,Case Ascertainment
2013,NS,98.390,Case Ascertainment
2014,NS,97.141,Case Ascertainment
2015,NS,96.863,Case Ascertainment
2016,NS,96.935,Case Ascertainment
2017,NS,98.683,Case Ascertainment
2018,NS,93.615,Case Ascertainment
2019,NS,73.895,Case Ascertainment
2020,NS,No data,Case Ascertainment
1996,NB,103.036,Case Ascertainment
1997,NB,107.395,Case Ascertainment
1998,NB,107.062,Case Ascertainment
1999,NB,110.868,Case Ascertainment
2000,NB,109.123,Case Ascertainment
2001,NB,108.170,Case Ascertainment
2002,NB,105.404,Case Ascertainment
2003,NB,103.448,Case Ascertainment
2004,NB,105.205,Case Ascertainment
2005,NB,115.842,Case Ascertainment
2006,NB,117.570,Case Ascertainment
2007,NB,118.684,Case Ascertainment
2008,NB,113.066,Case Ascertainment
2009,NB,108.421,Case Ascertainment
2010,NB,108.240,Case Ascertainment
2011,NB,107.635,Case Ascertainment
2012,NB,103.909,Case Ascertainment
2013,NB,106.681,Case Ascertainment
2014,NB,98.527,Case Ascertainment
2015,NB,98.469,Case Ascertainment
2016,NB,100.775,Case Ascertainment
2017,NB,100.297,Case Ascertainment
2018,NB,94.906,Case Ascertainment
2019,NB,94.701,Case Ascertainment
2020,NB,95.243,Case Ascertainment
1996,QC,102.002,Case Ascertainment
1997,QC,100.826,Case Ascertainment
1998,QC,105.609,Case Ascertainment
1999,QC,104.888,Case Ascertainment
2000,QC,109.542,Case Ascertainment
2001,QC,108.612,Case Ascertainment
2002,QC,106.810,Case Ascertainment
2003,QC,109.739,Case Ascertainment
2004,QC,111.353,Case Ascertainment
2005,QC,110.375,Case Ascertainment
2006,QC,110.353,Case Ascertainment
2007,QC,108.643,Case Ascertainment
2008,QC,107.672,Case Ascertainment
2009,QC,108.091,Case Ascertainment
2010,QC,115.980,Case Ascertainment
2011,QC,121.637,Case Ascertainment
2012,QC,122.781,Case Ascertainment
2013,QC,105.077,Case Ascertainment
2014,QC,105.683,Case Ascertainment
2015,QC,105.777,Case Ascertainment
2016,QC,109.293,Case Ascertainment
2017,QC,108.899,Case Ascertainment
2018,QC,No data,Case Ascertainment
2019,QC,No data,Case Ascertainment
2020,QC,No data,Case Ascertainment
1996,ON,96.230,Case Ascertainment
1997,ON,102.062,Case Ascertainment
1998,ON,103.448,Case Ascertainment
1999,ON,101.668,Case Ascertainment
2000,ON,100.336,Case Ascertainment
2001,ON,99.991,Case Ascertainment
2002,ON,98.826,Case Ascertainment
2003,ON,96.374,Case Ascertainment
2004,ON,99.581,Case Ascertainment
2005,ON,102.262,Case Ascertainment
2006,ON,102.873,Case Ascertainment
2007,ON,104.545,Case Ascertainment
2008,ON,99.693,Case Ascertainment
2009,ON,99.754,Case Ascertainment
2010,ON,112.229,Case Ascertainment
2011,ON,110.611,Case Ascertainment
2012,ON,106.896,Case Ascertainment
2013,ON,104.386,Case Ascertainment
2014,ON,102.167,Case Ascertainment
2015,ON,104.067,Case Ascertainment
2016,ON,104.483,Case Ascertainment
2017,ON,107.347,Case Ascertainment
2018,ON,104.193,Case Ascertainment
2019,ON,103.624,Case Ascertainment
2020,ON,94.205,Case Ascertainment
1996,MB,103.181,Case Ascertainment
1997,MB,107.251,Case Ascertainment
1998,MB,105.317,Case Ascertainment
1999,MB,107.418,Case Ascertainment
2000,MB,109.454,Case Ascertainment
2001,MB,108.179,Case Ascertainment
2002,MB,108.034,Case Ascertainment
2003,MB,101.008,Case Ascertainment
2004,MB,104.133,Case Ascertainment
2005,MB,101.950,Case Ascertainment
2006,MB,106.275,Case Ascertainment
2007,MB,105.223,Case Ascertainment
2008,MB,101.728,Case Ascertainment
2009,MB,104.927,Case Ascertainment
2010,MB,101.995,Case Ascertainment
2011,MB,104.735,Case Ascertainment
2012,MB,97.570,Case Ascertainment
2013,MB,97.968,Case Ascertainment
2014,MB,91.988,Case Ascertainment
2015,MB,91.619,Case Ascertainment
2016,MB,93.627,Case Ascertainment
2017,MB,93.558,Case Ascertainment
2018,MB,98.580,Case Ascertainment
2019,MB,97.807,Case Ascertainment
2020,MB,95.970,Case Ascertainment
1996,SK,100.252,Case Ascertainment
1997,SK,102.290,Case Ascertainment
1998,SK,105.538,Case Ascertainment
1999,SK,107.361,Case Ascertainment
2000,SK,105.281,Case Ascertainment
2001,SK,107.796,Case Ascertainment
2002,SK,104.968,Case Ascertainment
2003,SK,103.910,Case Ascertainment
2004,SK,106.946,Case Ascertainment
2005,SK,106.082,Case Ascertainment
2006,SK,105.671,Case Ascertainment
2007,SK,108.317,Case Ascertainment
2008,SK,106.602,Case Ascertainment
2009,SK,106.697,Case Ascertainment
2010,SK,101.852,Case Ascertainment
2011,SK,101.577,Case Ascertainment
2012,SK,99.312,Case Ascertainment
2013,SK,100.806,Case Ascertainment
2014,SK,96.300,Case Ascertainment
2015,SK,95.826,Case Ascertainment
2016,SK,97.980,Case Ascertainment
2017,SK,97.015,Case Ascertainment
2018,SK,92.792,Case Ascertainment
2019,SK,96.466,Case Ascertainment
2020,SK,90.698,Case Ascertainment
1996,AB,105.706,Case Ascertainment
1997,AB,106.372,Case Ascertainment
1998,AB,109.109,Case Ascertainment
1999,AB,114.422,Case Ascertainment
2000,AB,112.597,Case Ascertainment
2001,AB,110.936,Case Ascertainment
2002,AB,111.474,Case Ascertainment
2003,AB,110.640,Case Ascertainment
2004,AB,108.597,Case Ascertainment
2005,AB,107.596,Case Ascertainment
2006,AB,109.790,Case Ascertainment
2007,AB,108.502,Case Ascertainment
2008,AB,107.523,Case Ascertainment
2009,AB,107.516,Case Ascertainment
2010,AB,104.912,Case Ascertainment
2011,AB,108.798,Case Ascertainment
2012,AB,106.174,Case Ascertainment
2013,AB,100.396,Case Ascertainment
2014,AB,103.900,Case Ascertainment
2015,AB,105.485,Case Ascertainment
2016,AB,106.426,Case Ascertainment
2017,AB,104.368,Case Ascertainment
2018,AB,104.830,Case Ascertainment
2019,AB,107.344,Case Ascertainment
2020,AB,96.944,Case Ascertainment
1996,BC,110.117,Case Ascertainment
1997,BC,110.226,Case Ascertainment
1998,BC,109.897,Case Ascertainment
1999,BC,113.130,Case Ascertainment
2000,BC,111.260,Case Ascertainment
2001,BC,109.629,Case Ascertainment
2002,BC,107.544,Case Ascertainment
2003,BC,105.655,Case Ascertainment
2004,BC,101.754,Case Ascertainment
2005,BC,104.133,Case Ascertainment
2006,BC,107.700,Case Ascertainment
2007,BC,108.131,Case Ascertainment
2008,BC,103.689,Case Ascertainment
2009,BC,105.002,Case Ascertainment
2010,BC,102.972,Case Ascertainment
2011,BC,104.712,Case Ascertainment
2012,BC,103.860,Case Ascertainment
2013,BC,100.586,Case Ascertainment
2014,BC,97.003,Case Ascertainment
2015,BC,97.634,Case Ascertainment
2016,BC,98.074,Case Ascertainment
2017,BC,95.811,Case Ascertainment
2018,BC,98.475,Case Ascertainment
2019,BC,101.513,Case Ascertainment
2020,BC,94.092,Case Ascertainment
1996,YT,94.727,Case Ascertainment
1997,YT,73.576,Case Ascertainment
1998,YT,82.952,Case Ascertainment
1999,YT,115.866,Case Ascertainment
2000,YT,97.343,Case Ascertainment
2001,YT,92.267,Case Ascertainment
2002,YT,129.399,Case Ascertainment
2003,YT,80.636,Case Ascertainment
2004,YT,90.902,Case Ascertainment
2005,YT,99.819,Case Ascertainment
2006,YT,68.729,Case Ascertainment
2007,YT,75.641,Case Ascertainment
2008,YT,62.985,Case Ascertainment
2009,YT,91.785,Case Ascertainment
2010,YT,98.480,Case Ascertainment
2011,YT,81.253,Case Ascertainment
2012,YT,78.934,Case Ascertainment
2013,YT,75.778,Case Ascertainment
2014,YT,65.951,Case Ascertainment
2015,YT,98.030,Case Ascertainment
2016,YT,95.611,Case Ascertainment
2017,YT,125.949,Case Ascertainment
2018,YT,222.237,Case Ascertainment
2019,YT,No data,Case Ascertainment
2020,YT,No data,Case Ascertainment
1996,NT,71.286,Case Ascertainment
1997,NT,79.091,Case Ascertainment
1998,NT,77.941,Case Ascertainment
1999,NT,78.905,Case Ascertainment
2000,NT,94.394,Case Ascertainment
2001,NT,87.859,Case Ascertainment
2002,NT,129.630,Case Ascertainment
2003,NT,110.528,Case Ascertainment
2004,NT,98.044,Case Ascertainment
2005,NT,88.660,Case Ascertainment
2006,NT,94.939,Case Ascertainment
2007,NT,125.168,Case Ascertainment
2008,NT,99.276,Case Ascertainment
2009,NT,121.024,Case Ascertainment
2010,NT,97.847,Case Ascertainment
2011,NT,94.332,Case Ascertainment
2012,NT,97.313,Case Ascertainment
2013,NT,85.584,Case Ascertainment
2014,NT,105.190,Case Ascertainment
2015,NT,92.468,Case Ascertainment
2016,NT,88.272,Case Ascertainment
2017,NT,103.347,Case Ascertainment
2018,NT,84.324,Case Ascertainment
2019,NT,107.701,Case Ascertainment
2020,NT,68.883,Case Ascertainment
1996,NU,No data,Case Ascertainment
1997,NU,No data,Case Ascertainment
1998,NU,No data,Case Ascertainment
1999,NU,302.820,Case Ascertainment
2000,NU,207.885,Case Ascertainment
2001,NU,114.896,Case Ascertainment
2002,NU,132.722,Case Ascertainment
2003,NU,140.449,Case Ascertainment
2004,NU,66.350,Case Ascertainment
2005,NU,125.285,Case Ascertainment
2006,NU,87.573,Case Ascertainment
2007,NU,74.727,Case Ascertainment
2008,NU,60.685,Case Ascertainment
2009,NU,89.376,Case Ascertainment
2010,NU,95.402,Case Ascertainment
2011,NU,80.889,Case Ascertainment
2012,NU,71.442,Case Ascertainment
2013,NU,48.378,Case Ascertainment
2014,NU,55.217,Case Ascertainment
2015,NU,70.269,Case Ascertainment
2016,NU,84.084,Case Ascertainment
2017,NU,86.079,Case Ascertainment
2018,NU,91.212,Case Ascertainment
2019,NU,71.733,Case Ascertainment
2020,NU,57.931,Case Ascertainment
2013,Canada,0.017,Data Submission Delay
2014,Canada,0.033,Data Submission Delay
2015,Canada,0.013,Data Submission Delay
2016,Canada,0.032,Data Submission Delay
2017,Canada,0.036,Data Submission Delay
2018,Canada,0.002,Data Submission Delay
2019,Canada,0.029,Data Submission Delay
2013,NL,0.010,Data Submission Delay
2014,NL,0.013,Data Submission Delay
2015,NL,0.012,Data Submission Delay
2016,NL,0.007,Data Submission Delay
2017,NL,0.010,Data Submission Delay
2018,NL,0.017,Data Submission Delay
2019,NL,0.006,Data Submission Delay
2013,PE,0.057,Data Submission Delay
2014,PE,0.015,Data Submission Delay
2015,PE,0.010,Data Submission Delay
2016,PE,0.033,Data Submission Delay
2017,PE,0.032,Data Submission Delay
2018,PE,0.015,Data Submission Delay
2019,PE,0.003,Data Submission Delay
2013,NS,0.022,Data Submission Delay
2014,NS,0.099,Data Submission Delay
2015,NS,0.042,Data Submission Delay
2016,NS,0.032,Data Submission Delay
2017,NS,0.079,Data Submission Delay
2018,NS,-0.001,Data Submission Delay
2019,NS,No data,Data Submission Delay
2013,NB,0.027,Data Submission Delay
2014,NB,0.029,Data Submission Delay
2015,NB,0.027,Data Submission Delay
2016,NB,0.027,Data Submission Delay
2017,NB,0.026,Data Submission Delay
2018,NB,0.016,Data Submission Delay
2019,NB,0.009,Data Submission Delay
2013,QC,No data,Data Submission Delay
2014,QC,No data,Data Submission Delay
2015,QC,No data,Data Submission Delay
2016,QC,No data,Data Submission Delay
2017,QC,No data,Data Submission Delay
2018,QC,No data,Data Submission Delay
2019,QC,No data,Data Submission Delay
2013,ON,-0.004,Data Submission Delay
2014,ON,0.016,Data Submission Delay
2015,ON,0.002,Data Submission Delay
2016,ON,0.042,Data Submission Delay
2017,ON,0.039,Data Submission Delay
2018,ON,-0.009,Data Submission Delay
2019,ON,-0.010,Data Submission Delay
2013,MB,0.008,Data Submission Delay
2014,MB,0.012,Data Submission Delay
2015,MB,0.008,Data Submission Delay
2016,MB,0.020,Data Submission Delay
2017,MB,0.052,Data Submission Delay
2018,MB,0.039,Data Submission Delay
2019,MB,0.021,Data Submission Delay
2013,SK,0.028,Data Submission Delay
2014,SK,0.034,Data Submission Delay
2015,SK,0.026,Data Submission Delay
2016,SK,0.020,Data Submission Delay
2017,SK,0.032,Data Submission Delay
2018,SK,0.011,Data Submission Delay
2019,SK,0.012,Data Submission Delay
2013,AB,0.020,Data Submission Delay
2014,AB,0.026,Data Submission Delay
2015,AB,0.025,Data Submission Delay
2016,AB,0.036,Data Submission Delay
2017,AB,0.036,Data Submission Delay
2018,AB,0.011,Data Submission Delay
2019,AB,0.011,Data Submission Delay
2013,BC,0.076,Data Submission Delay
2014,BC,0.086,Data Submission Delay
2015,BC,0.028,Data Submission Delay
2016,BC,0.008,Data Submission Delay
2017,BC,0.014,Data Submission Delay
2018,BC,0.016,Data Submission Delay
2019,BC,0.005,Data Submission Delay
2013,YT,0.069,Data Submission Delay
2014,YT,0.099,Data Submission Delay
2015,YT,0.018,Data Submission Delay
2016,YT,0.103,Data Submission Delay
2017,YT,0.028,Data Submission Delay
2018,YT,0.015,Data Submission Delay
2019,YT,0.005,Data Submission Delay
2013,NT,0.029,Data Submission Delay
2014,NT,0.028,Data Submission Delay
2015,NT,0.032,Data Submission Delay
2016,NT,0.016,Data Submission Delay
2017,NT,0.060,Data Submission Delay
2018,NT,0.038,Data Submission Delay
2019,NT,0.005,Data Submission Delay
2013,NU,0.000,Data Submission Delay
2014,NU,0.000,Data Submission Delay
2015,NU,0.056,Data Submission Delay
2016,NU,0.056,Data Submission Delay
2017,NU,0.011,Data Submission Delay
2018,NU,0.000,Data Submission Delay
2019,NU,0.014,Data Submission Delay
2018,Canada,82.507,Stage - Colorectal
2019,Canada,89.388,Stage - Colorectal
2020,Canada,73.385,Stage - Colorectal
2018,NL,73.974,Stage - Colorectal
2019,NL,99.319,Stage - Colorectal
2020,NL,95.161,Stage - Colorectal
2018,PE,100.000,Stage - Colorectal
2019,PE,100.000,Stage - Colorectal
2020,PE,100.000,Stage - Colorectal
2018,NS,94.548,Stage - Colorectal
2019,NS,0.558,Stage - Colorectal
2020,NS,0.000,Stage - Colorectal
2018,NB,95.666,Stage - Colorectal
2019,NB,93.231,Stage - Colorectal
2020,NB,94.991,Stage - Colorectal
2018,QC,0.000,Stage - Colorectal
2019,QC,0.000,Stage - Colorectal
2020,QC,0.000,Stage - Colorectal
2018,ON,70.917,Stage - Colorectal
2019,ON,88.052,Stage - Colorectal
2020,ON,51.073,Stage - Colorectal
2018,MB,97.622,Stage - Colorectal
2019,MB,97.674,Stage - Colorectal
2020,MB,97.124,Stage - Colorectal
2018,SK,92.776,Stage - Colorectal
2019,SK,95.218,Stage - Colorectal
2020,SK,92.144,Stage - Colorectal
2018,AB,100.000,Stage - Colorectal
2019,AB,100.000,Stage - Colorectal
2020,AB,100.000,Stage - Colorectal
2018,BC,99.767,Stage - Colorectal
2019,BC,99.872,Stage - Colorectal
2020,BC,99.964,Stage - Colorectal
2018,YT,97.436,Stage - Colorectal
2019,YT,93.939,Stage - Colorectal
2020,YT,100.000,Stage - Colorectal
2018,NT,100.000,Stage - Colorectal
2019,NT,100.000,Stage - Colorectal
2020,NT,100.000,Stage - Colorectal
2018,NU,63.636,Stage - Colorectal
2019,NU,60.000,Stage - Colorectal
2020,NU,90.000,Stage - Colorectal
2018,Canada,90.745,Stage - Lung
2019,Canada,93.297,Stage - Lung
2020,Canada,76.891,Stage - Lung
2018,NL,96.893,Stage - Lung
2019,NL,99.609,Stage - Lung
2020,NL,99.588,Stage - Lung
2018,PE,100.000,Stage - Lung
2019,PE,100.000,Stage - Lung
2020,PE,100.000,Stage - Lung
2018,NS,98.515,Stage - Lung
2019,NS,32.199,Stage - Lung
2020,NS,0.000,Stage - Lung
2018,NB,98.807,Stage - Lung
2019,NB,99.373,Stage - Lung
2020,NB,100.000,Stage - Lung
2018,QC,0.000,Stage - Lung
2019,QC,0.000,Stage - Lung
2020,QC,0.000,Stage - Lung
2018,ON,90.304,Stage - Lung
2019,ON,92.338,Stage - Lung
2020,ON,53.852,Stage - Lung
2018,MB,99.096,Stage - Lung
2019,MB,99.578,Stage - Lung
2020,MB,98.587,Stage - Lung
2018,SK,0.000,Stage - Lung
2019,SK,99.874,Stage - Lung
2020,SK,100.000,Stage - Lung
2018,AB,100.000,Stage - Lung
2019,AB,100.000,Stage - Lung
2020,AB,100.000,Stage - Lung
2018,BC,99.906,Stage - Lung
2019,BC,99.917,Stage - Lung
2020,BC,99.878,Stage - Lung
2018,YT,100.000,Stage - Lung
2019,YT,88.235,Stage - Lung
2020,YT,100.000,Stage - Lung
2018,NT,100.000,Stage - Lung
2019,NT,100.000,Stage - Lung
2020,NT,100.000,Stage - Lung
2018,NU,86.364,Stage - Lung
2019,NU,87.500,Stage - Lung
2020,NU,85.714,Stage - Lung
2018,Canada,87.318,Stage - Breast
2019,Canada,87.234,Stage - Breast
2020,Canada,72.742,Stage - Breast
2018,NL,97.597,Stage - Breast
2019,NL,97.547,Stage - Breast
2020,NL,41.502,Stage - Breast
2018,PE,100.000,Stage - Breast
2019,PE,100.000,Stage - Breast
2020,PE,100.000,Stage - Breast
2018,NS,99.889,Stage - Breast
2019,NS,0.214,Stage - Breast
2020,NS,0.000,Stage - Breast
2018,NB,99.855,Stage - Breast
2019,NB,99.825,Stage - Breast
2020,NB,99.357,Stage - Breast
2018,QC,0.000,Stage - Breast
2019,QC,0.000,Stage - Breast
2020,QC,0.000,Stage - Breast
2018,ON,82.581,Stage - Breast
2019,ON,82.541,Stage - Breast
2020,ON,50.924,Stage - Breast
2018,MB,99.111,Stage - Breast
2019,MB,99.362,Stage - Breast
2020,MB,99.693,Stage - Breast
2018,SK,0.000,Stage - Breast
2019,SK,99.446,Stage - Breast
2020,SK,99.482,Stage - Breast
2018,AB,100.000,Stage - Breast
2019,AB,100.000,Stage - Breast
2020,AB,100.000,Stage - Breast
2018,BC,99.954,Stage - Breast
2019,BC,99.935,Stage - Breast
2020,BC,100.000,Stage - Breast
2018,YT,96.000,Stage - Breast
2019,YT,95.652,Stage - Breast
2020,YT,100.000,Stage - Breast
2018,NT,100.000,Stage - Breast
2019,NT,100.000,Stage - Breast
2020,NT,100.000,Stage - Breast
2018,NU,66.667,Stage - Breast
2019,NU,28.571,Stage - Breast
2020,NU,100.000,Stage - Breast
2018,Canada,82.036,Stage - Cervix
2019,Canada,87.137,Stage - Cervix
2020,Canada,66.498,Stage - Cervix
2018,NL,95.455,Stage - Cervix
2019,NL,100.000,Stage - Cervix
2020,NL,0.000,Stage - Cervix
2018,PE,100.000,Stage - Cervix
2019,PE,100.000,Stage - Cervix
2020,PE,100.000,Stage - Cervix
2018,NS,0.000,Stage - Cervix
2019,NS,0.000,Stage - Cervix
2020,NS,0.000,Stage - Cervix
2018,NB,0.000,Stage - Cervix
2019,NB,100.000,Stage - Cervix
2020,NB,97.222,Stage - Cervix
2018,QC,0.000,Stage - Cervix
2019,QC,0.000,Stage - Cervix
2020,QC,0.000,Stage - Cervix
2018,ON,86.570,Stage - Cervix
2019,ON,90.994,Stage - Cervix
2020,ON,45.378,Stage - Cervix
2018,MB,100.000,Stage - Cervix
2019,MB,100.000,Stage - Cervix
2020,MB,100.000,Stage - Cervix
2018,SK,0.000,Stage - Cervix
2019,SK,0.000,Stage - Cervix
2020,SK,0.000,Stage - Cervix
2018,AB,100.000,Stage - Cervix
2019,AB,100.000,Stage - Cervix
2020,AB,100.000,Stage - Cervix
2018,BC,100.000,Stage - Cervix
2019,BC,100.000,Stage - Cervix
2020,BC,100.000,Stage - Cervix
2018,YT,100.000,Stage - Cervix
2019,YT,100.000,Stage - Cervix
2020,YT,100.000,Stage - Cervix
2018,NT,100.000,Stage - Cervix
2019,NT,100.000,Stage - Cervix
2020,NT,100.000,Stage - Cervix
2018,NU,75.000,Stage - Cervix
2019,NU,0.000,Stage - Cervix
2020,NU,0.000,Stage - Cervix
2018,Canada,93.495,Stage - Prostate
2019,Canada,94.817,Stage - Prostate
2020,Canada,78.566,Stage - Prostate
2018,NL,98.472,Stage - Prostate
2019,NL,99.758,Stage - Prostate
2020,NL,0.309,Stage - Prostate
2018,PE,100.000,Stage - Prostate
2019,PE,100.000,Stage - Prostate
2020,PE,100.000,Stage - Prostate
2018,NS,99.266,Stage - Prostate
2019,NS,1.471,Stage - Prostate
2020,NS,0.000,Stage - Prostate
2018,NB,100.000,Stage - Prostate
2019,NB,100.000,Stage - Prostate
2020,NB,100.000,Stage - Prostate
2018,QC,0.000,Stage - Prostate
2019,QC,0.000,Stage - Prostate
2020,QC,0.000,Stage - Prostate
2018,ON,94.583,Stage - Prostate
2019,ON,95.281,Stage - Prostate
2020,ON,58.714,Stage - Prostate
2018,MB,99.874,Stage - Prostate
2019,MB,99.894,Stage - Prostate
2020,MB,100.000,Stage - Prostate
2018,SK,0.000,Stage - Prostate
2019,SK,99.861,Stage - Prostate
2020,SK,99.855,Stage - Prostate
2018,AB,100.000,Stage - Prostate
2019,AB,100.000,Stage - Prostate
2020,AB,100.000,Stage - Prostate
2018,BC,100.000,Stage - Prostate
2019,BC,99.972,Stage - Prostate
2020,BC,100.000,Stage - Prostate
2018,YT,91.667,Stage - Prostate
2019,YT,93.548,Stage - Prostate
2020,YT,100.000,Stage - Prostate
2018,NT,100.000,Stage - Prostate
2019,NT,100.000,Stage - Prostate
2020,NT,100.000,Stage - Prostate
2018,NU,100.000,Stage - Prostate
2019,NU,0.000,Stage - Prostate
2020,NU,100.000,Stage - Prostate